Année de Year Date;Adjusted for Inflation Notes;Adjusted for Inflation Title;Format;Metric;Year;Value (For Charting);Adjusted for Inflation Flag;Year Date;Format Value # (Billion);Format Value # (Million);Total Value # (Billion);Total Value # (Million);Total Value For Year;Value (Actual);Year (copy)
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2013;8,1; (adjusted for inflation, 2023 dollars);2013;;€8,1M;€9,2B;;€9201,8B;8,1;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2014;3,3; (adjusted for inflation, 2023 dollars);2014;;€3,3M;€8,6B;;€8616,8B;3,3;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2015;4,8; (adjusted for inflation, 2023 dollars);2015;;€4,8M;€8,6B;;€8627,1B;4,8;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2016;3,7; (adjusted for inflation, 2023 dollars);2016;;€3,7M;€9,5B;;€9510,9B;3,7;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2017;2,8; (adjusted for inflation, 2023 dollars);2017;;€2,8M;€10,6B;;€10570,2B;2,8;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2018;2,4; (adjusted for inflation, 2023 dollars);2018;;€2,4M;€11,8B;;€11816,7B;2,4;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2019;1,9; (adjusted for inflation, 2023 dollars);2019;;€1,9M;€13,2B;;€13248,7B;1,9;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2020;1,4; (adjusted for inflation, 2023 dollars);2020;;€1,4M;€14,3B;;€14326,3B;1,4;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2021;0,8; (adjusted for inflation, 2023 dollars);2021;;€0,8M;€16,9B;;€16893,6B;0,8;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Kiosk;Value (Adjusted);2022;0,4; (adjusted for inflation, 2023 dollars);2022;;€0,4M;€16,5B;;€16547,4B;0,4;2022
1973;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1973;8550,9; (adjusted for inflation, 2023 dollars);1973;€8,6B;;€13,8B;;€13839,3B;8550,9;1973
1974;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1974;8380,9; (adjusted for inflation, 2023 dollars);1974;€8,4B;;€13,6B;;€13595,4B;8380,9;1974
1975;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1975;8410,5; (adjusted for inflation, 2023 dollars);1975;€8,4B;;€13,5B;;€13527,7B;8410,5;1975
1976;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1976;8905,4; (adjusted for inflation, 2023 dollars);1976;€8,9B;;€14,7B;;€14657,2B;8905,4;1976
1977;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1977;11037,2; (adjusted for inflation, 2023 dollars);1977;€11,0B;;€17,6B;;€17602,4B;11037,2;1977
1978;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1978;11558,6; (adjusted for inflation, 2023 dollars);1978;€11,6B;;€19,3B;;€19307,5B;11558,6;1978
1979;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1979;8633,2; (adjusted for inflation, 2023 dollars);1979;€8,6B;;€15,4B;;€15426,1B;8633,2;1979
1980;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1980;8135,2; (adjusted for inflation, 2023 dollars);1980;€8,1B;;€13,6B;;€13615,5B;8135,2;1980
1981;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1981;7849,5; (adjusted for inflation, 2023 dollars);1981;€7,8B;;€13,3B;;€13320,8B;7849,5;1981
1982;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1982;6078,6; (adjusted for inflation, 2023 dollars);1982;€6,1B;;€11,5B;;€11457,5B;6078,6;1982
1983;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1983;5167,1; (adjusted for inflation, 2023 dollars);1983;€5,2B;;€11,6B;;€11583,6B;5167,1;1983
1984;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1984;4542,1; (adjusted for inflation, 2023 dollars);1984;€4,5B;;€12,7B;;€12712,1B;4542,1;1984
1985;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1985;3626,1; (adjusted for inflation, 2023 dollars);1985;€3,6B;;€12,4B;;€12353,7B;3626,1;1985
1986;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1986;2732,9; (adjusted for inflation, 2023 dollars);1986;€2,7B;;€12,9B;;€12901,7B;2732,9;1986
1987;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1987;2127,3; (adjusted for inflation, 2023 dollars);1987;€2,1B;;€14,9B;;€14924,0B;2127,3;1987
1988;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1988;1370,8; (adjusted for inflation, 2023 dollars);1988;€1,4B;;€16,1B;;€16110,1B;1370,8;1988
1989;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1989;541,3; (adjusted for inflation, 2023 dollars);1989;;€541,3M;€16,2B;;€16169,3B;541,3;1989
1990;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1990;201,7; (adjusted for inflation, 2023 dollars);1990;;€201,7M;€17,6B;;€17580,6B;201,7;1990
1991;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1991;65,8; (adjusted for inflation, 2023 dollars);1991;;€65,8M;€17,5B;;€17526,4B;65,8;1991
1992;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1992;29,3; (adjusted for inflation, 2023 dollars);1992;;€29,3M;€19,6B;;€19598,0B;29,3;1992
1993;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1993;22,4; (adjusted for inflation, 2023 dollars);1993;;€22,4M;€21,2B;;€21185,0B;22,4;1993
1994;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1994;36,6; (adjusted for inflation, 2023 dollars);1994;;€36,6M;€24,8B;;€24811,9B;36,6;1994
1995;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1995;50,2; (adjusted for inflation, 2023 dollars);1995;;€50,2M;€24,6B;;€24632,7B;50,2;1995
1996;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1996;71,5; (adjusted for inflation, 2023 dollars);1996;;€71,5M;€24,3B;;€24340,7B;71,5;1996
1997;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1997;63,2; (adjusted for inflation, 2023 dollars);1997;;€63,2M;€23,2B;;€23231,0B;63,2;1997
1998;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1998;63,6; (adjusted for inflation, 2023 dollars);1998;;€63,6M;€25,6B;;€25630,9B;63,6;1998
1999;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);1999;58,2; (adjusted for inflation, 2023 dollars);1999;;€58,2M;€26,7B;;€26674,7B;58,2;1999
2000;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2000;49; (adjusted for inflation, 2023 dollars);2000;;€49,0M;€25,3B;;€25345,2B;49;2000
2001;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2001;47,1; (adjusted for inflation, 2023 dollars);2001;;€47,1M;€23,7B;;€23650,3B;47,1;2001
2002;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2002;34,7; (adjusted for inflation, 2023 dollars);2002;;€34,7M;€21,4B;;€21367,8B;34,7;2002
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2003;35,9; (adjusted for inflation, 2023 dollars);2003;;€35,9M;€19,6B;;€19630,7B;35,9;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2004;31,1; (adjusted for inflation, 2023 dollars);2004;;€31,1M;€19,9B;;€19913,0B;31,1;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2005;22,2; (adjusted for inflation, 2023 dollars);2005;;€22,2M;€19,2B;;€19174,4B;22,2;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2006;23,7; (adjusted for inflation, 2023 dollars);2006;;€23,7M;€17,8B;;€17773,5B;23,7;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2007;33,7; (adjusted for inflation, 2023 dollars);2007;;€33,7M;€15,7B;;€15652,2B;33,7;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2008;80,2; (adjusted for inflation, 2023 dollars);2008;;€80,2M;€12,4B;;€12421,1B;80,2;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2009;90,6; (adjusted for inflation, 2023 dollars);2009;;€90,6M;€11,1B;;€11122,4B;90,6;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2010;124,2; (adjusted for inflation, 2023 dollars);2010;;€124,2M;€9,8B;;€9800,8B;124,2;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2011;161,7; (adjusted for inflation, 2023 dollars);2011;;€161,7M;€9,7B;;€9665,7B;161,7;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2012;213,3; (adjusted for inflation, 2023 dollars);2012;;€213,3M;€9,3B;;€9310,9B;213,3;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2013;275,6; (adjusted for inflation, 2023 dollars);2013;;€275,6M;€9,2B;;€9201,8B;275,6;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2014;313,9; (adjusted for inflation, 2023 dollars);2014;;€313,9M;€8,6B;;€8616,8B;313,9;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2015;428,6; (adjusted for inflation, 2023 dollars);2015;;€428,6M;€8,6B;;€8627,1B;428,6;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2016;451,2; (adjusted for inflation, 2023 dollars);2016;;€451,2M;€9,5B;;€9510,9B;451,2;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2017;482,9; (adjusted for inflation, 2023 dollars);2017;;€482,9M;€10,6B;;€10570,2B;482,9;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2018;508,7; (adjusted for inflation, 2023 dollars);2018;;€508,7M;€11,8B;;€11816,7B;508,7;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2019;614,4; (adjusted for inflation, 2023 dollars);2019;;€614,4M;€13,2B;;€13248,7B;614,4;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2020;819,8; (adjusted for inflation, 2023 dollars);2020;;€819,8M;€14,3B;;€14326,3B;819,8;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2021;1221,5; (adjusted for inflation, 2023 dollars);2021;€1,2B;;€16,9B;;€16893,6B;1221,5;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2022;1274,8; (adjusted for inflation, 2023 dollars);2022;€1,3B;;€16,5B;;€16547,4B;1274,8;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;LP/EP;Value (Adjusted);2023;1350,2; (adjusted for inflation, 2023 dollars);2023;€1,4B;;€17,1B;;€17115,2B;1350,2;2023
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2016;326,6; (adjusted for inflation, 2023 dollars);2016;;€326,6M;€9,5B;;€9510,9B;326,6;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2017;707; (adjusted for inflation, 2023 dollars);2017;;€707,0M;€10,6B;;€10570,2B;707;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2018;898,6; (adjusted for inflation, 2023 dollars);2018;;€898,6M;€11,8B;;€11816,7B;898,6;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2019;755,8; (adjusted for inflation, 2023 dollars);2019;;€755,8M;€13,2B;;€13248,7B;755,8;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2020;845,2; (adjusted for inflation, 2023 dollars);2020;;€845,2M;€14,3B;;€14326,3B;845,2;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2021;1008,7; (adjusted for inflation, 2023 dollars);2021;€1,0B;;€16,9B;;€16893,6B;1008,7;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2022;1106,8; (adjusted for inflation, 2023 dollars);2022;€1,1B;;€16,5B;;€16547,4B;1106,8;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Limited Tier Paid Subscription;Value (Adjusted);2023;1021,4; (adjusted for inflation, 2023 dollars);2023;€1,0B;;€17,1B;;€17115,2B;1021,4;2023
1989;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1989;283,6; (adjusted for inflation, 2023 dollars);1989;;€283,6M;€16,2B;;€16169,3B;283,6;1989
1990;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1990;401,7; (adjusted for inflation, 2023 dollars);1990;;€401,7M;€17,6B;;€17580,6B;401,7;1990
1991;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1991;264,2; (adjusted for inflation, 2023 dollars);1991;;€264,2M;€17,5B;;€17526,4B;264,2;1991
1992;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1992;341,8; (adjusted for inflation, 2023 dollars);1992;;€341,8M;€19,6B;;€19598,0B;341,8;1992
1993;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1993;449,8; (adjusted for inflation, 2023 dollars);1993;;€449,8M;€21,2B;;€21185,0B;449,8;1993
1994;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1994;475,1; (adjusted for inflation, 2023 dollars);1994;;€475,1M;€24,8B;;€24811,9B;475,1;1994
1995;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1995;440,5; (adjusted for inflation, 2023 dollars);1995;;€440,5M;€24,6B;;€24632,7B;440,5;1995
1996;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1996;458,5; (adjusted for inflation, 2023 dollars);1996;;€458,5M;€24,3B;;€24340,7B;458,5;1996
1997;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1997;614,9; (adjusted for inflation, 2023 dollars);1997;;€614,9M;€23,2B;;€23231,0B;614,9;1997
1998;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1998;949,6; (adjusted for inflation, 2023 dollars);1998;;€949,6M;€25,6B;;€25630,9B;949,6;1998
1999;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);1999;689; (adjusted for inflation, 2023 dollars);1999;;€689,0M;€26,7B;;€26674,7B;689;1999
2000;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2000;498,8; (adjusted for inflation, 2023 dollars);2000;;€498,8M;€25,3B;;€25345,2B;498,8;2000
2001;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2001;566,4; (adjusted for inflation, 2023 dollars);2001;;€566,4M;€23,7B;;€23650,3B;566,4;2001
2002;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2002;488,5; (adjusted for inflation, 2023 dollars);2002;;€488,5M;€21,4B;;€21367,8B;488,5;2002
2003;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2003;662,2; (adjusted for inflation, 2023 dollars);2003;;€662,2M;€19,6B;;€19630,7B;662,2;2003
2004;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2004;979,4; (adjusted for inflation, 2023 dollars);2004;;€979,4M;€19,9B;;€19913,0B;979,4;2004
2005;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2005;939,5; (adjusted for inflation, 2023 dollars);2005;;€939,5M;€19,2B;;€19174,4B;939,5;2005
2006;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2006;681,8; (adjusted for inflation, 2023 dollars);2006;;€681,8M;€17,8B;;€17773,5B;681,8;2006
2007;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2007;712,6; (adjusted for inflation, 2023 dollars);2007;;€712,6M;€15,7B;;€15652,2B;712,6;2007
2008;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2008;321,7; (adjusted for inflation, 2023 dollars);2008;;€321,7M;€12,4B;;€12421,1B;321,7;2008
2009;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2009;297,7; (adjusted for inflation, 2023 dollars);2009;;€297,7M;€11,1B;;€11122,4B;297,7;2009
2010;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2010;248,2; (adjusted for inflation, 2023 dollars);2010;;€248,2M;€9,8B;;€9800,8B;248,2;2010
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2011;204,5; (adjusted for inflation, 2023 dollars);2011;;€204,5M;€9,7B;;€9665,7B;204,5;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2012;154,8; (adjusted for inflation, 2023 dollars);2012;;€154,8M;€9,3B;;€9310,9B;154,8;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2013;139; (adjusted for inflation, 2023 dollars);2013;;€139,0M;€9,2B;;€9201,8B;139;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2014;115,5; (adjusted for inflation, 2023 dollars);2014;;€115,5M;€8,6B;;€8616,8B;115,5;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2015;90,5; (adjusted for inflation, 2023 dollars);2015;;€90,5M;€8,6B;;€8627,1B;90,5;2015
2016;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2016;72,3; (adjusted for inflation, 2023 dollars);2016;;€72,3M;€9,5B;;€9510,9B;72,3;2016
2017;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2017;46,6; (adjusted for inflation, 2023 dollars);2017;;€46,6M;€10,6B;;€10570,2B;46,6;2017
2018;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2018;34,5; (adjusted for inflation, 2023 dollars);2018;;€34,5M;€11,8B;;€11816,7B;34,5;2018
2019;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2019;31,7; (adjusted for inflation, 2023 dollars);2019;;€31,7M;€13,2B;;€13248,7B;31,7;2019
2020;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2020;32,3; (adjusted for inflation, 2023 dollars);2020;;€32,3M;€14,3B;;€14326,3B;32,3;2020
2021;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2021;22,4; (adjusted for inflation, 2023 dollars);2021;;€22,4M;€16,9B;;€16893,6B;22,4;2021
2022;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2022;11,8; (adjusted for inflation, 2023 dollars);2022;;€11,8M;€16,5B;;€16547,4B;11,8;2022
2023;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;Music Video (Physical);Value (Adjusted);2023;10,7; (adjusted for inflation, 2023 dollars);2023;;€10,7M;€17,1B;;€17115,2B;10,7;2023
2011;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2011;154,2; (adjusted for inflation, 2023 dollars);2011;;€154,2M;€9,7B;;€9665,7B;154,2;2011
2012;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2012;226,9; (adjusted for inflation, 2023 dollars);2012;;€226,9M;€9,3B;;€9310,9B;226,9;2012
2013;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2013;288,9; (adjusted for inflation, 2023 dollars);2013;;€288,9M;€9,2B;;€9201,8B;288,9;2013
2014;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2014;365,3; (adjusted for inflation, 2023 dollars);2014;;€365,3M;€8,6B;;€8616,8B;365,3;2014
2015;Inflation adjustments based on US Bureau of Labor Statistics annual CPI.;Adjusted for Inflation, 2023 Dollars;On-Demand Streaming (Ad-Supported);Value (Adjusted);2015;478,2; (adjusted for inflation, 2023 dollars);2015;;€478,2M;€8,6B;;€8627,1B;478,2;2015
